Backbone,Best_Method,Macro_F1_%,Baseline_F1_%,Delta_F1_%p,Macro_Se_%,Baseline_Se_%,Delta_Se_%p
ResUNet,B2 (TF-MHCA),65.69,46.88,+18.81,62.9,45.33,+17.57
MACNN-SE,Hybrid MHCA,58.54,43.19,+15.35,70.83,40.71,+30.12
